,Duration,Total_Stops,Price,Dep_hour,Dep_min,Arrival_hour,Arrival_min,Jounrey_date,Jounrey_month,Airline_Air India,Airline_GoAir,Airline_IndiGo,Airline_Multiple carriers,Airline_Multiple carriers Premium economy,Airline_SpiceJet,Airline_Trujet,Airline_Vistara,Airline_Vistara Premium economy,Source_Chennai,Source_Delhi,Source_Kolkata,Source_Mumbai,Destination_Cochin,Destination_Delhi,Destination_Hyderabad,Destination_Kolkata,Destination_New Delhi
72,175,0,5780,18,55,21,50,4,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
73,765,1,9397,20,20,9,5,5,12,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
74,355,1,5281,7,0,12,55,27,6,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
75,925,1,10348,7,5,22,30,18,5,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
76,965,1,12677,17,20,9,25,3,6,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
77,610,1,15147,15,25,1,35,3,3,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
78,160,0,4668,7,0,9,40,6,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
79,160,0,3971,5,55,8,35,4,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
80,85,0,3100,15,0,16,25,5,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
81,1215,1,27430,23,0,19,15,3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
82,145,0,3540,5,15,7,40,5,12,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
83,1390,2,10676,12,0,11,10,21,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
84,170,0,3943,4,0,6,50,24,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
85,140,0,3597,14,45,17,5,6,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
86,480,1,5932,11,50,19,50,21,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
87,190,0,6216,14,40,17,50,5,12,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
88,165,0,4804,20,25,23,10,15,6,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
89,840,1,14067,11,30,1,30,21,5,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
90,1275,2,10441,22,0,19,15,27,6,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
91,480,1,13017,17,30,1,30,4,9,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
92,495,1,6686,23,30,7,45,6,6,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
93,325,1,5636,2,0,7,25,15,6,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
94,515,1,6442,7,35,16,10,6,9,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
95,710,1,9486,13,5,0,55,21,5,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
96,1255,1,5117,12,30,9,25,4,3,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
97,290,1,6147,15,10,20,0,24,6,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
98,490,1,7005,12,50,21,0,6,9,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
99,140,0,3873,22,20,0,40,4,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
100,170,0,3898,11,40,14,30,27,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
101,1415,2,10697,8,20,7,55,5,9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
102,170,0,8855,18,55,21,45,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
103,165,0,4777,0,40,3,25,24,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
104,75,1,7662,12,0,13,15,6,9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
105,560,1,6442,6,50,16,10,5,9,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
106,270,1,5264,8,45,13,15,6,12,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
107,90,0,6092,13,55,15,25,3,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
108,160,0,3311,5,55,8,35,21,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
109,165,0,3419,1,30,4,15,27,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
110,185,0,8246,18,5,21,10,18,4,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
111,570,1,13587,11,30,21,0,27,6,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
112,305,1,5073,20,25,1,30,4,3,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
113,110,1,9345,17,0,18,50,21,5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
114,780,1,14277,8,0,21,0,21,5,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
115,570,1,13727,16,0,1,30,15,5,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
116,140,0,3858,14,45,17,5,5,12,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
117,270,1,4812,8,45,13,15,24,6,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
118,345,1,5775,21,50,3,35,27,6,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
119,155,0,4804,15,30,18,5,6,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
120,165,0,3383,11,10,13,55,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
121,295,1,8738,12,10,17,5,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
122,95,1,7165,5,15,6,50,27,3,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
123,380,1,6412,16,10,22,30,24,6,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
124,135,0,3543,9,45,12,0,27,6,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
125,170,0,4441,13,20,16,10,18,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
126,505,1,12537,7,5,15,30,27,3,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
127,555,1,10091,22,25,7,40,24,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
128,170,0,6961,21,5,23,55,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
129,195,0,5013,5,35,8,50,24,4,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
130,170,0,6934,5,10,8,0,18,5,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
131,740,1,10877,6,40,19,0,6,3,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
132,575,1,7048,16,0,1,35,27,3,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
133,155,0,4878,17,0,19,35,27,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
134,175,0,3943,0,30,3,25,5,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
135,315,1,5583,6,5,11,20,6,6,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
136,545,1,9646,7,5,16,10,6,6,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
137,645,1,7677,8,30,19,15,6,3,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
138,295,1,6842,5,10,10,5,6,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
139,700,1,9555,7,10,18,50,6,9,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
140,165,0,4077,1,30,4,15,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
141,600,1,12192,9,0,19,0,6,9,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
142,165,0,5911,10,0,12,45,4,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
143,615,1,8372,9,0,19,15,6,12,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
144,555,1,14323,10,0,19,15,5,9,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
145,290,2,13591,14,25,19,15,6,6,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
146,170,0,3943,23,30,2,20,27,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
147,90,0,1965,5,45,7,15,21,5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
148,100,1,14641,16,50,18,30,24,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
149,155,0,4460,20,45,23,20,4,12,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
150,375,1,10191,13,0,19,15,18,5,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
151,345,1,6349,21,50,3,35,5,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
152,155,0,4409,10,20,12,55,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
153,835,1,13727,7,5,21,0,18,5,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
154,175,0,8855,18,25,21,20,15,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
155,615,1,12524,8,45,19,0,24,6,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
156,720,1,13587,9,0,21,0,6,9,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
157,135,0,3543,9,45,12,0,6,12,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
158,135,0,4842,7,5,9,20,18,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
159,170,0,3943,23,30,2,20,24,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
160,625,1,6979,10,35,21,0,15,5,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
161,140,0,11982,17,45,20,5,27,6,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
162,270,1,5264,8,45,13,15,6,6,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
163,190,0,8001,6,0,9,10,3,3,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
164,-30,2,10651,19,45,19,15,6,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
165,755,1,6601,9,45,22,20,27,3,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
166,15,1,6587,19,0,19,15,21,3,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
167,80,0,3173,13,10,14,30,21,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
168,165,0,5228,10,0,12,45,5,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
169,170,0,3359,22,10,1,0,6,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
170,175,0,6722,20,55,23,50,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
171,165,0,4462,9,35,12,20,18,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
172,675,1,6171,4,55,16,10,3,9,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
173,875,2,12303,5,50,20,25,21,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
174,835,1,7695,11,40,1,35,21,3,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
175,845,1,5684,11,25,1,30,24,6,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
176,905,1,8366,16,50,7,55,6,12,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
177,135,0,19630,11,40,13,55,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
178,540,1,6513,7,10,16,10,6,12,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
179,735,1,9929,7,0,19,15,6,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
180,460,2,18275,17,50,1,30,6,6,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
181,200,1,4487,6,5,9,25,4,9,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
182,85,0,2754,21,20,22,45,15,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
183,80,0,2575,6,20,7,40,27,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
184,330,1,8224,15,55,21,25,6,12,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
185,705,1,8991,20,30,8,15,3,9,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
186,195,0,5000,5,35,8,50,24,6,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
187,200,1,14042,6,5,9,25,3,3,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
188,160,0,4804,21,25,0,5,5,6,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
189,480,1,7308,17,30,1,30,27,5,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
190,180,0,4823,16,55,19,55,5,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
191,1375,2,12778,17,25,16,20,3,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
192,515,1,14871,4,45,13,20,3,3,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
193,355,2,8708,13,20,19,15,21,3,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
194,80,0,4129,5,45,7,5,3,6,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
195,160,0,4804,21,25,0,5,18,5,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
196,155,0,3859,9,30,12,5,18,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
197,705,1,9001,7,30,19,15,6,6,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
198,155,0,4878,17,0,19,35,5,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
199,90,0,2754,2,35,4,5,5,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
200,160,0,4668,7,0,9,40,27,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
201,155,0,5216,10,20,12,55,5,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
202,880,2,8146,6,40,21,20,3,9,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
203,1210,2,10939,13,15,9,25,6,6,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
204,1245,2,11753,10,55,7,40,6,6,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
205,150,0,4174,17,10,19,40,24,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
206,710,1,14871,9,10,21,0,3,3,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
207,135,0,7295,13,20,15,35,3,6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
208,30,2,13465,18,45,19,15,6,6,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
209,140,0,3543,17,45,20,5,21,5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
210,390,1,7198,19,0,1,30,27,6,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
211,155,0,4148,15,20,17,55,15,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
212,150,0,3841,14,55,17,25,15,6,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
213,705,1,15353,7,30,19,15,3,6,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
214,175,0,7303,18,25,21,20,24,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
215,340,1,6197,15,5,20,45,24,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
216,245,1,8996,9,10,13,15,6,9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
217,480,1,6528,14,20,22,20,21,3,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
218,165,0,4239,20,55,23,40,4,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
219,160,0,4148,20,25,23,5,3,12,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
220,175,0,3971,21,10,0,5,24,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
221,955,1,5192,7,35,23,30,5,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
222,170,0,5201,5,10,8,0,18,6,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
223,465,1,6795,17,45,1,30,27,5,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
224,625,2,15965,15,5,1,30,24,6,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
225,380,2,9968,12,55,19,15,4,9,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
226,155,0,4804,22,15,0,50,6,6,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
227,260,2,11542,9,25,13,45,6,9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
228,295,1,6496,5,10,10,5,15,5,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
229,160,0,4804,21,25,0,5,15,6,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
230,1330,1,13439,11,5,9,15,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
231,170,0,4591,23,30,2,20,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
232,260,1,4437,16,15,20,35,18,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
233,660,1,6151,20,10,7,10,21,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
234,160,0,4781,6,55,9,35,24,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
235,170,0,4668,11,30,14,20,27,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
